ID,NODES,EPOCHS,TRAINACC,TRAINLOSS,TESTACC,TESTLOSS
HL,32,3,0.9546,0.1553,0.9585999846,0.1427415162
HL,32,5,0.9753,0.0807,0.9646000266,0.1187011972
HL,64,1,0.8603,0.5025,0.9524000287,0.1706082672
HL,64,3,0.9889,0.0365,0.9756000042,0.080439426
HL,64,5,0.9817,0.0619,0.9731000066,0.08203420043
HL,128,1,0.8792,0.4314,0.9607999921,0.1330911219
HL,128,3,0.9836,0.057,0.9765999913,0.07781075686
HL,128,5,0.9942,0.0179,0.9775999784,0.08147304505
JL,16,1,0.8767499924,0.4338373244,0.9304000139,0.2422824651
JL,16,3,0.9319000244,0.2385030538,0.9319000244,0.2321104705
JL,16,5,0.94903332,0.1747864485,0.9495000243,0.180030793
JL,32,1,0.9040666819,0.3546932936,0.9394999743,0.2084825188
JL,32,3,0.9570666552,0.1481773555,0.9557999969,0.1424413621
JL,32,5,0.9680500031,0.1103074551,0.9650999904,0.1173682958
JL,64,1,0.9166333079,0.2982844412,0.951300025,0.169100821
JL,64,3,0.9690333605,0.1046623439,0.9685999751,0.105947122
JL,64,5,0.979616642,0.06680498272,0.9717000127,0.09223246574
JL,128,1,0.9253666401,0.2589728236,0.9562000036,0.1456660181
JL,128,3,0.976000011,0.0784701854,0.9718999863,0.0879157111
JL,128,5,0.9856333137,0.04596854374,0.9739000201,0.09017818421
IZ,16,1,0.9823317,0.025717804,0.9193000197,0.2687464058
IZ,32,1,0.9994029,0.00086171966,0.9319000244,0.2293878645
IZ,64,1,0.99588877,0.0059434995,0.9433000088,0.1812086254
IZ,128,1,0.9271739,0.10908809,0.9570000172,0.1413608491
IZ,16,2,0.99978256,0.00031366225,0.9345999956,0.2295950651
IZ,32,2,0.9846071,0.022380006,0.9517999887,0.1605670601
IZ,64,2,0.87583995,0.19126077,0.9656000137,0.1173758581
IZ,128,2,0.9191587,0.12161414,0.9708999991,0.09496492893
IZ,16,3,0.9276836,0.10829521,0.9433000088,0.1948969811
IZ,32,3,0.98888916,0.016119322,0.9574000239,0.1445938349
IZ,64,3,0.98741114,0.018277109,0.9682999849,0.1016589627
IZ,128,3,0.98498446,0.02182719,0.9726999998,0.08490312099
